№пп,"Путь к странице","ID товара","Посещения Январь","Посещения Февраль","Посещения Март","Посещения Апрель","Посещения Май","Посещения Июнь","Посещения Июль","Посещения Август","Посещения Сентябрь","Посещения Октябрь","Посещения Ноябрь","Посещения Декабрь"
1,/work/code/3/msk/alkogolnie/krepkij_alkogol.php,ID1002-msk,200/20,200/20,200/20,200/20,200/21,200/20,200/20,200/20,200/20,200/21,200/20,200/21
2,/work/code/3/msk/alkogolnie/krepkij_alkogol.php,ID1001-msk,200/20,200/20,200/20,200/20,200/21,200/20,200/20,200/20,200/20,200/21,200/20,200/21
3,/work/code/3/msk/alkogolnie/krepkij_alkogol.php,ID1010-msk,200/20,200/20,200/20,200/20,200/21,200/20,200/20,200/20,200/20,200/21,200/20,200/21
11,/msk/alkogolnie/krepkij_alkogol,ID1003-msk,0/0,0/0,0/0,0/0,0/0,0/0,3/1,0/0,0/0,0/0,0/0,0/0
12,/msk/alkogolnie/krepkij_alkogol,ID1002-msk,0/0,0/0,0/0,0/0,0/0,0/0,3/1,0/0,0/0,0/0,0/0,0/0
13,/msk/alkogolnie/krepkij_alkogol,ID1001-msk,0/0,0/0,0/0,0/0,0/0,0/0,3/1,0/0,0/0,0/0,0/0,0/0
14,/msk/alkogolnie/krepkij_alkogol,ID1004-msk,0/0,0/0,0/0,0/0,0/0,0/0,3/1,0/0,0/0,0/0,0/0,0/0
15,/msk/alkogolnie/vodka_konyak_vino_shampanskoe_optom/,ID1005-msk,0/0,0/0,0/0,0/0,0/0,0/0,3/1,0/0,0/0,0/0,0/0,0/0
16,/msk/alkogolnie/vodka_konyak_vino_shampanskoe_optom/,ID1001-msk,0/0,0/0,0/0,0/0,0/0,0/0,3/2,0/0,0/0,0/0,0/0,0/0
17,/msk/alkogolnie/vodka_konyak_vino_shampanskoe/,ID1001-msk,0/0,0/0,0/0,0/0,0/0,0/0,5/4,0/0,0/0,0/0,0/0,0/0
18,/msk/alkogolnie/vodka_konyak_vino_shampanskoe/,ID1002-msk,0/0,0/0,0/0,0/0,0/0,0/0,5/4,0/0,0/0,0/0,0/0,0/0
19,/msk/alkogolnie/vodka_konyak_vino_shampanskoe/,ID1048-msk,0/0,0/0,0/0,0/0,0/0,0/0,5/1,0/0,0/0,0/0,0/0,0/0
20,/msk/alkogolnie/vodka_konyak_vino_shampanskoe/,ID1004-msk,0/0,0/0,0/0,0/0,0/0,0/0,5/1,0/0,0/0,0/0,0/0,0/0
21,/msk/zakuski_sneki/zakuski_sneki/,ID1038,0/0,0/0,0/0,0/0,0/0,0/0,4/1,0/0,0/0,0/0,0/0,0/0
22,/msk/zakuski_sneki/zakuski_sneki/,ID1037,0/0,0/0,0/0,0/0,0/0,0/0,4/1,0/0,0/0,0/0,0/0,0/0
23,/msk/zakuski_sneki/zakuski_sneki/,ID1036,0/0,0/0,0/0,0/0,0/0,0/0,4/1,0/0,0/0,0/0,0/0,0/0
24,/msk/zakuski_sneki/zakuski_sneki/,ID1035,0/0,0/0,0/0,0/0,0/0,0/0,4/1,0/0,0/0,0/0,0/0,0/0
25,/msk/zakuski_sneki/zakuski_sneki/,ID1034,0/0,0/0,0/0,0/0,0/0,0/0,4/1,0/0,0/0,0/0,0/0,0/0
26,/msk/,ID1001,0/0,0/0,0/0,0/0,0/0,0/0,6/4,0/0,0/0,0/0,0/0,0/0
27,/msk,ID1001,0/0,0/0,0/0,0/0,0/0,0/0,2/1,0/0,0/0,0/0,0/0,0/0
28,/msk,ID1002,0/0,0/0,0/0,0/0,0/0,0/0,2/1,0/0,0/0,0/0,0/0,0/0
29,/msk,ID1003,0/0,0/0,0/0,0/0,0/0,0/0,2/1,0/0,0/0,0/0,0/0,0/0
30,/msk/,ID1005,0/0,0/0,0/0,0/0,0/0,0/0,6/1,0/0,0/0,0/0,0/0,0/0
31,/msk/alkogolnie/pivo_sidr_medovuha/ID1001/,ID1001,0/0,0/0,0/0,0/0,0/0,0/0,3/1,0/0,0/0,0/0,0/0,0/0
32,/msk/,ID1002,0/0,0/0,0/0,0/0,0/0,0/0,6/1,0/0,0/0,0/0,0/0,0/0
33,/msk/alkogolnie/pivo_sidr_medovuha/ID1002/,ID1002,0/0,0/0,0/0,0/0,0/0,0/0,3/1,0/0,0/0,0/0,0/0,0/0
