№пп,"Путь к странице","ID товара","Посещения Январь","Посещения Февраль","Посещения Март","Посещения Апрель","Посещения Май","Посещения Июнь","Посещения Июль","Посещения Август","Посещения Сентябрь","Посещения Октябрь","Посещения Ноябрь","Посещения Декабрь"
1,/msk/alkogolnie/krepkij_alkogol.php,ID1002-msk,200/20,200/20,200/20,200/20,200/21,200/20,200/21,200/20,200/20,200/21,200/20,200/21
2,/msk/alkogolnie/krepkij_alkogol.php,ID1001-msk,200/20,200/20,200/20,200/20,200/21,200/20,200/22,200/20,200/20,200/21,200/20,200/21
3,/msk/alkogolnie/krepkij_alkogol.php,ID1010-msk,200/20,200/20,200/20,200/20,200/21,200/20,200/21,200/20,200/20,200/21,200/20,200/21
0,/msk/alkogolnie/krepkij_alkogol.php,ID1004-msk,200/0,200/0,200/0,200/0,200/0,200/0,200/1,200/0,200/0,200/0,200/0,200/0
0,/msk/alkogolnie/krepkij_alkogol.php,ID1017-msk,200/0,200/0,200/0,200/0,200/0,200/0,200/1,200/0,200/0,200/0,200/0,200/0
0,/msk/alkogolnie/krepkij_alkogol.php,ID1015-msk,200/0,200/0,200/0,200/0,200/0,200/0,200/1,200/0,200/0,200/0,200/0,200/0
0,/msk/alkogolnie/krepkij_alkogol.php,ID1019-msk,200/0,200/0,200/0,200/0,200/0,200/0,200/1,200/0,200/0,200/0,200/0,200/0
