№пп,"Путь к странице","ID товара","Посещения Январь","Посещения Февраль","Посещения Март","Посещения Апрель","Посещения Май","Посещения Июнь","Посещения Июль","Посещения Август","Посещения Сентябрь","Посещения Октябрь","Посещения Ноябрь","Посещения Декабрь"
11,/msk/bezalkogolnie/soki_voda_kvas_limonad/,40,"=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""2/1""","=""0/0""","=""0/0""","=""0/0""","=""0/0"""
12,/msk/bezalkogolnie/soki_voda_kvas_limonad/,41,"=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""2/1""","=""0/0""","=""0/0""","=""0/0""","=""0/0"""
13,/msk/bezalkogolnie/soki_voda_kvas_limonad/ID1041/,42,"=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""1/1""","=""0/0""","=""0/0""","=""0/0""","=""0/0"""
14,/msk/,1,"=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""2/1""","=""0/0""","=""0/0""","=""0/0""","=""0/0"""
15,/msk/alkogolnie/pivo_sidr_medovuha/,1,"=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""2/1""","=""0/0""","=""0/0""","=""0/0""","=""0/0"""
