№пп,"Путь к странице","ID товара","Посещения Январь","Посещения Февраль","Посещения Март","Посещения Апрель","Посещения Май","Посещения Июнь","Посещения Июль","Посещения Август","Посещения Сентябрь","Посещения Октябрь","Посещения Ноябрь","Посещения Декабрь"
11,/msk/,ID1003,"=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""11/3""","=""0/0""","=""0/0""","=""0/0""","=""0/0"""
12,/msk/,ID1009,"=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""11/9""","=""0/0""","=""0/0""","=""0/0""","=""0/0"""
12,/msk/,ID1001,"=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""11/1""","=""0/0""","=""0/0""","=""0/0""","=""0/0"""
12,/msk/,ID1002,"=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""11/2""","=""0/0""","=""0/0""","=""0/0""","=""0/0"""
12,/msk/,ID1004,"=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""11/4""","=""0/0""","=""0/0""","=""0/0""","=""0/0"""
12,/msk/,ID1005,"=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""11/5""","=""0/0""","=""0/0""","=""0/0""","=""0/0"""
13,/msk/,1,"=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""11/1""","=""0/0""","=""0/0""","=""0/0""","=""0/0"""
