№пп,"Путь к странице","ID товара","Посещения Январь","Посещения Февраль","Посещения Март","Посещения Апрель","Посещения Май","Посещения Июнь","Посещения Июль","Посещения Август","Посещения Сентябрь","Посещения Октябрь","Посещения Ноябрь","Посещения Декабрь"
11,/msk/,ID1003,"=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""164/18""","=""0/0""","=""0/0""","=""0/0""","=""0/0"""
12,/msk/,ID1009,"=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""164/1""","=""0/0""","=""0/0""","=""0/0""","=""0/0"""
12,/msk/,ID1001,"=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""164/28""","=""0/0""","=""0/0""","=""0/0""","=""0/0"""
12,/msk/,ID1002,"=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""164/15""","=""0/0""","=""0/0""","=""0/0""","=""0/0"""
12,/msk/,ID1004,"=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""164/7""","=""0/0""","=""0/0""","=""0/0""","=""0/0"""
12,/msk/,ID1005,"=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""164/80""","=""0/0""","=""0/0""","=""0/0""","=""0/0"""
