№пп,"Путь к странице","ID товара","Посещения Январь","Посещения Февраль","Посещения Март","Посещения Апрель","Посещения Май","Посещения Июнь","Посещения Июль","Посещения Август","Посещения Сентябрь","Посещения Октябрь","Посещения Ноябрь","Посещения Декабрь"
11,/msk/,ID1003,"=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""164/18""","=""0/0""","=""0/0""","=""0/0""","=""0/0"""
12,/msk/,ID1009,"=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""164/1""","=""0/0""","=""0/0""","=""0/0""","=""0/0"""
12,/msk/,ID1001,"=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""164/28""","=""0/0""","=""0/0""","=""0/0""","=""0/0"""
12,/msk/,ID1002,"=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""164/15""","=""0/0""","=""0/0""","=""0/0""","=""0/0"""
12,/msk/,ID1004,"=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""164/7""","=""0/0""","=""0/0""","=""0/0""","=""0/0"""
12,/msk/,ID1005,"=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""164/80""","=""0/0""","=""0/0""","=""0/0""","=""0/0"""
13,/smw/bezalkogolnie/soki_voda_kvas_limonad/ID1043/,100,"=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""1/1""","=""0/0""","=""0/0""","=""0/0""","=""0/0"""
14,/smw/alkogolnie/vodka_konyak_vino_shampanskoe/ID1007/,63,"=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""1/1""","=""0/0""","=""0/0""","=""0/0""","=""0/0"""
15,/smw/bezalkogolnie/soki_voda_kvas_limonad/ID1052/,109,"=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""1/1""","=""0/0""","=""0/0""","=""0/0""","=""0/0"""
16,/msk/alkogolnie/pivo_sidr_medovuha/ID1001/,1
17,/smw/bezalkogolnie/soki_voda_kvas_limonad/ID1050/,107,"=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""1/1""","=""0/0""","=""0/0""","=""0/0""","=""0/0"""
18,/msk/alkogolnie/vodka_konyak_vino_shampanskoe/,19,"=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""3/3""","=""0/0""","=""0/0""","=""0/0""","=""0/0"""
19,/msk/alkogolnie/vodka_konyak_vino_shampanskoe/ID1019/,19,"=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""4/2""","=""0/0""","=""0/0""","=""0/0""","=""0/0"""
20,/msk/alkogolnie/vodka_konyak_vino_shampanskoe/,20,"=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""0/0""","=""3/1""","=""0/0""","=""0/0""","=""0/0""","=""0/0"""
